,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Unnamed: 17_level_0,Unnamed: 18_level_0,Ice Time,Ice Time,Point Shares,Point Shares,Point Shares,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Nathan MacKinnon,27.0,C,21,8,25,33,10,20,4,4,0,0,16,9,0,115,7.0,475.0,22:37,2.5,0.9,3.4,13,17,185,212,46.6
1,2.0,Mikko Rantanen,26.0,RW,21,14,17,31,5,16,11,3,0,2,5,12,0,64,21.9,462.0,22:01,2.9,0.7,3.6,10,20,45,70,39.1
2,3.0,Cale Makar,24.0,D,21,6,17,23,3,12,2,4,0,2,7,10,0,61,9.8,566.0,26:56,2.0,1.5,3.5,33,26,0,0,
3,4.0,Artturi Lehkonen,27.0,LW,21,7,11,18,2,12,3,4,0,2,3,8,0,54,13.0,457.0,21:45,1.0,0.6,1.7,19,25,0,11,0.0
4,5.0,Devon Toews,28.0,D,19,1,13,14,6,4,1,0,0,0,11,2,0,30,3.3,460.0,24:13,0.8,1.5,2.3,39,13,0,0,
5,6.0,Valeri Nichushkin,27.0,RW,7,7,5,12,1,0,1,5,1,1,3,1,1,26,26.9,143.0,20:28,1.4,0.2,1.6,5,12,0,1,0.0
6,7.0,J.T. Compher,27.0,LW,21,3,9,12,0,8,1,2,0,1,6,3,0,26,11.5,375.0,17:50,0.3,0.4,0.8,19,8,170,192,47.0
7,8.0,Evan Rodrigues,29.0,C,18,6,3,9,-3,8,2,4,0,0,3,0,0,48,12.5,326.0,18:07,0.5,0.3,0.8,5,12,50,53,48.5
8,9.0,Logan O'Connor,26.0,RW,21,5,3,8,4,10,4,0,1,0,2,0,1,38,13.2,320.0,15:13,0.3,0.5,0.8,20,30,0,6,0.0
9,10.0,Alex Newhook,22.0,C,21,4,3,7,-2,8,4,0,0,0,3,0,0,31,12.9,290.0,13:47,0.2,0.3,0.5,6,13,42,88,32.3
10,11.0,Andrew Cogliano,35.0,LW,21,3,3,6,6,2,3,0,0,0,2,0,1,30,10.0,292.0,13:55,0.0,0.6,0.6,13,13,10,12,45.5
11,12.0,Josh Manson,31.0,D,21,2,4,6,2,40,2,0,0,2,4,0,0,30,6.7,356.0,16:57,0.3,0.9,1.3,23,46,0,0,
12,13.0,Bowen Byram,21.0,D,10,2,3,5,3,4,1,0,1,0,2,1,0,11,18.2,208.0,20:47,0.4,0.7,1.1,11,15,0,0,
13,14.0,Samuel Girard,24.0,D,15,1,3,4,-4,8,1,0,0,0,1,2,0,22,4.5,286.0,19:05,0.1,0.4,0.5,11,13,0,0,
14,15.0,Erik Johnson,34.0,D,21,0,4,4,8,4,0,0,0,0,4,0,0,34,0.0,351.0,16:43,-0.1,1.4,1.3,41,38,0,0,
15,16.0,Martin Kaut,23.0,RW,16,1,2,3,1,2,1,0,0,1,2,0,0,18,5.6,161.0,10:05,-0.1,0.2,0.1,3,5,1,3,25.0
16,17.0,Dryden Hunt,27.0,LW,17,1,0,1,-2,6,1,0,0,0,0,0,0,14,7.1,138.0,8:07,-0.2,0.1,-0.1,1,41,1,2,33.3
17,18.0,Ben Meyers,24.0,F,3,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,24.0,7:53,0.1,0.1,0.2,0,3,0,1,0.0
18,19.0,Andreas Englund,27.0,D,4,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,44.0,11:00,0.0,0.0,0.1,3,14,0,0,
19,20.0,Pavel Francouz,32.0,G,6,0,1,1,0,0,0,0,0,0,1,0,0,0,,356.0,59:21,0.0,0.0,1.2,0,0,0,0,
20,21.0,Kurtis MacDermid,28.0,D,8,0,1,1,-1,14,0,0,0,0,1,0,0,3,0.0,63.0,7:49,0.0,0.1,0.1,1,22,0,0,
21,22.0,Jacob MacDonald,29.0,D,14,0,1,1,2,5,0,0,0,0,1,0,0,18,0.0,159.0,11:22,-0.1,0.5,0.4,9,19,0,0,
22,23.0,Anton Blidh,27.0,LW,7,0,0,0,-2,4,0,0,0,0,0,0,0,5,0.0,47.0,6:44,-0.1,0.0,-0.1,2,11,0,1,0.0
23,24.0,Shane Bowers,23.0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,1:46,0.0,0.0,0.0,0,0,0,2,0.0
24,25.0,Jean-Luc Foudy,20.0,C,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,20.0,9:48,-0.1,0.0,0.0,0,1,0,0,
25,26.0,Alex Galchenyuk,28.0,C,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,,20.0,10:07,-0.1,0.0,-0.1,2,0,1,0,100.0
26,27.0,Alexandar Georgiev,26.0,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,906.0,60:23,0.0,0.0,3.7,0,0,0,0,
27,28.0,Mikhail Maltsev,24.0,LW,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,33.0,6:36,-0.1,0.0,-0.1,2,4,14,13,51.9
28,29.0,Jayson Megna,32.0,C,12,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,79.0,6:37,-0.2,0.1,-0.2,2,15,32,30,51.6
29,30.0,Oskar Olausson,20.0,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.0,7:02,0.0,0.0,0.0,0,0,0,0,
30,31.0,Sampo Ranta,22.0,LW,4,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,24.0,6:03,-0.1,0.0,0.0,2,5,0,1,0.0
31,32.0,Lukas Sedlak,29.0,C,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23.0,7:42,-0.1,0.1,0.0,4,5,4,10,28.6
32,,Team Total,,,21,72,129,201,37,193,43,26,3,11,78,48,3,697,10.3,,,11.8,12.0,28.7,299,446,555,708,43.9
