,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Unnamed: 17_level_0,Unnamed: 18_level_0,Ice Time,Ice Time,Point Shares,Point Shares,Point Shares,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Filip Forsberg,28.0,C,22,7,13,20,-8,4,6,1,0,1,6,7,0,71,9.9,404.0,18:22,1.3,0.3,1.6,11,39,0,0,
1,2.0,Matt Duchene,32.0,C,22,5,13,18,-2,22,3,2,0,1,12,1,0,53,9.4,399.0,18:09,1.0,0.5,1.5,13,3,34,26,56.7
2,3.0,Roman Josi,32.0,D,22,5,13,18,-3,10,2,3,0,1,8,5,0,94,5.3,550.0,24:59,1.5,1.2,2.6,54,18,0,0,
3,4.0,Mikael Granlund,30.0,C,22,3,14,17,-9,4,2,1,0,0,9,5,0,34,8.8,429.0,19:31,0.6,0.3,0.9,15,22,79,105,42.9
4,5.0,Ryan Johansen,30.0,C,22,7,7,14,-6,16,5,2,0,1,3,4,0,33,21.2,359.0,16:18,0.9,0.3,1.2,13,23,216,135,61.5
5,6.0,Nino Niederreiter,30.0,RW,22,9,2,11,-8,6,7,2,0,1,1,1,0,44,20.5,345.0,15:40,0.9,0.2,1.1,8,51,2,3,40.0
6,7.0,Colton Sissons,29.0,C,22,3,4,7,1,2,3,0,0,0,4,0,0,23,13.0,343.0,15:34,0.0,0.5,0.5,15,54,183,155,54.1
7,8.0,Mattias Ekholm,32.0,D,22,1,6,7,-1,8,1,0,0,0,4,2,0,38,2.6,470.0,21:21,0.2,1.1,1.3,24,26,0,0,
8,9.0,Ryan McDonagh,33.0,D,22,0,6,6,5,8,0,0,0,0,6,0,0,20,0.0,447.0,20:20,0.0,1.5,1.5,44,18,0,0,
9,10.0,Cole Smith,27.0,F,22,0,6,6,1,23,0,0,0,0,6,0,0,19,0.0,257.0,11:42,-0.2,0.4,0.2,5,61,0,3,0.0
10,11.0,Tanner Jeannot,25.0,F,22,3,2,5,4,28,3,0,0,0,2,0,0,40,7.5,347.0,15:46,-0.2,0.6,0.4,19,78,2,5,28.6
11,12.0,Juuso Parssinen,21.0,C,8,3,2,5,-2,0,2,1,0,1,1,1,0,14,21.4,137.0,17:04,0.4,0.1,0.5,2,16,41,50,45.1
12,13.0,Eeli Tolvanen,23.0,RW,13,2,2,4,-2,4,2,0,0,1,2,0,0,19,10.5,167.0,12:49,0.1,0.2,0.2,16,22,1,2,33.3
13,14.0,Yakov Trenin,26.0,C,17,1,3,4,-1,6,1,0,0,0,3,0,0,27,3.7,242.0,14:13,-0.2,0.3,0.1,8,37,4,4,50.0
14,15.0,Dante Fabbro,24.0,D,21,0,4,4,-1,16,0,0,0,0,4,0,0,25,0.0,334.0,15:55,0.0,0.8,0.7,27,25,0,0,
15,16.0,Mark Jankowski,28.0,C,10,2,1,3,2,4,2,0,0,1,1,0,0,13,15.4,134.0,13:22,0.1,0.3,0.3,10,12,59,44,57.3
16,17.0,Cody Glass,23.0,C,14,1,2,3,-1,2,1,0,0,0,2,0,0,18,5.6,161.0,11:30,-0.1,0.2,0.1,3,7,43,57,43.0
17,18.0,Jordan Gross,27.0,D,3,2,0,2,-2,0,1,1,0,0,0,0,0,6,33.3,48.0,15:53,0.3,0.0,0.3,3,0,0,0,
18,19.0,Michael McCarron,27.0,RW,13,1,1,2,-2,10,1,0,0,0,1,0,0,20,5.0,130.0,9:59,-0.1,0.1,0.0,12,32,17,16,51.5
19,20.0,Zach Sanford,28.0,LW,8,1,1,2,-3,2,1,0,0,1,1,0,0,9,11.1,97.0,12:04,0.0,0.0,0.0,6,9,1,0,100.0
20,21.0,Kiefer Sherwood,27.0,RW,5,1,1,2,1,11,1,0,0,0,1,0,0,4,25.0,50.0,10:02,0.1,0.1,0.2,0,8,1,0,100.0
21,22.0,Jeremy Lauzon,25.0,D,18,0,1,1,-4,26,0,0,0,0,1,0,0,16,0.0,289.0,16:02,-0.3,0.4,0.2,20,59,0,0,
22,23.0,Mark Borowiecki,33.0,D,4,0,0,0,0,12,0,0,0,0,0,0,0,1,0.0,40.0,9:56,0.0,0.1,0.1,1,5,0,0,
23,24.0,Alexandre Carrier,26.0,D,20,0,0,0,-5,8,0,0,0,0,0,0,0,24,0.0,366.0,18:17,-0.4,0.6,0.1,23,29,0,0,
24,25.0,Kevin Lankinen,27.0,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,336.0,55:56,0.0,0.0,1.3,0,0,0,0,
25,26.0,Juuse Saros,27.0,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,986.0,58:00,0.0,0.0,3.2,0,0,0,0,
26,,Team Total,,,22,57,104,161,-46,232,44,13,0,9,78,26,0,665,8.6,,,5.7,10.1,20.3,352,654,683,605,53.0
