,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Unnamed: 17_level_0,Unnamed: 18_level_0,Ice Time,Ice Time,Point Shares,Point Shares,Point Shares,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Mika Zibanejad,29.0,C,24,11,14,25,5,6,3,7,1,2,9,5,0,101,10.9,505.0,21:01,1.9,0.9,2.8,7,18,173,197,46.8
1,2.0,Adam Fox,24.0,D,24,6,19,25,8,8,6,0,0,3,11,7,1,51,11.8,602.0,25:04,2.1,2.1,4.3,34,12,0,0,
2,3.0,Artemi Panarin,31.0,LW,24,6,19,25,-9,12,5,1,0,1,8,11,0,59,10.2,494.0,20:35,1.5,0.4,1.8,3,5,0,1,0.0
3,4.0,Chris Kreider,31.0,LW,24,11,10,21,7,6,7,4,0,2,5,5,0,80,13.8,472.0,19:40,1.6,0.9,2.5,7,55,17,16,51.5
4,5.0,Vincent Trocheck,29.0,C,24,8,7,15,-8,14,3,5,0,0,4,3,0,84,9.5,495.0,20:37,0.7,0.4,1.1,10,65,205,165,55.4
5,6.0,Barclay Goodrow,29.0,RW,24,6,5,11,-4,13,6,0,0,1,3,1,1,34,17.6,355.0,14:48,0.6,0.3,0.9,15,35,77,91,45.8
6,7.0,Filip Chytil,23.0,C,18,4,7,11,5,16,4,0,0,1,7,0,0,25,16.0,256.0,14:12,0.7,0.5,1.2,12,17,61,100,37.9
7,8.0,Alexis Lafreniere,21.0,LW,24,3,7,10,0,8,3,0,0,0,7,0,0,46,6.5,376.0,15:41,0.1,0.5,0.7,6,47,10,11,47.6
8,9.0,Kaapo Kakko,21.0,RW,24,4,4,8,-2,6,4,0,0,0,4,0,0,47,8.5,379.0,15:46,0.0,0.5,0.5,14,12,1,3,25.0
9,10.0,Jimmy Vesey,29.0,LW,23,3,5,8,4,2,2,0,1,0,5,0,0,40,7.5,291.0,12:39,0.2,0.5,0.7,11,36,2,6,25.0
10,11.0,Ryan Lindgren,24.0,D,22,0,8,8,7,25,0,0,0,0,8,0,0,31,0.0,393.0,17:53,0.3,1.5,1.8,42,31,0,0,
11,12.0,K'Andre Miller,23.0,D,24,0,7,7,-5,12,0,0,0,0,6,0,1,39,0.0,526.0,21:55,0.0,1.0,1.0,25,43,0,0,
12,13.0,Jacob Trouba,28.0,D,24,0,6,6,-7,12,0,0,0,0,5,0,1,74,0.0,513.0,21:23,-0.1,0.8,0.8,60,82,0,0,
13,14.0,Julien Gauthier,25.0,RW,16,4,1,5,2,4,4,0,0,0,1,0,0,17,23.5,138.0,8:39,0.4,0.3,0.7,2,29,3,2,60.0
14,15.0,Sammy Blais,26.0,LW,21,0,5,5,3,4,0,0,0,0,5,0,0,19,0.0,208.0,9:55,-0.1,0.4,0.3,8,74,0,1,0.0
15,16.0,Braden Schneider,21.0,D,24,2,2,4,2,5,2,0,0,0,2,0,0,25,8.0,355.0,14:49,0.1,1.1,1.2,36,33,0,0,
16,17.0,Ryan Carpenter,32.0,C,20,1,2,3,-4,8,1,0,0,0,2,0,0,16,6.3,191.0,9:34,-0.2,0.1,0.0,10,32,65,56,53.7
17,18.0,Zachary Jones,22.0,D,16,1,1,2,-2,4,1,0,0,1,1,0,0,15,6.7,250.0,15:37,0.0,0.5,0.5,16,5,0,0,
18,19.0,Libor Hajek,24.0,D,10,1,0,1,0,2,1,0,0,0,0,0,0,10,10.0,134.0,13:23,0.0,0.3,0.4,7,12,0,0,
19,20.0,Dryden Hunt,27.0,LW,3,1,0,1,-1,2,1,0,0,0,0,0,0,2,50.0,26.0,8:49,0.1,0.0,0.1,2,11,0,0,
20,21.0,Vitali Kravtsov,23.0,RW,7,0,1,1,2,4,0,0,0,0,1,0,0,5,0.0,63.0,9:00,-0.1,0.2,0.1,2,7,0,2,0.0
21,22.0,Jaroslav Halak,37.0,G,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,416.0,59:24,0.0,0.0,0.9,0,0,0,0,
22,23.0,Ryan Reaves,36.0,RW,12,0,0,0,-5,12,0,0,0,0,0,0,0,3,0.0,101.0,8:27,-0.3,0.0,-0.3,4,44,2,4,33.3
23,24.0,Igor Shesterkin,27.0,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,1023.0,60:12,0.0,0.0,3.2,0,0,0,0,
24,,Team Total,,,24,72,130,202,-2,185,53,17,2,11,94,32,4,823,8.7,,,9.8,13.3,27.1,333,705,616,655,48.5
