,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Unnamed: 17_level_0,Unnamed: 18_level_0,Ice Time,Ice Time,Point Shares,Point Shares,Point Shares,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Brady Tkachuk,23.0,LW,22,9,16,25,-9,34,6,3,0,2,11,5,0,99,9.1,404.0,18:21,2.1,0.2,2.3,2,55,103,90,53.4
1,2.0,Tim Stützle,21.0,LW,22,8,14,22,-8,16,6,2,0,0,8,6,0,48,16.7,447.0,20:19,1.6,0.3,1.9,17,41,70,89,44.0
2,3.0,Claude Giroux,35.0,C,22,9,11,20,1,6,8,1,0,1,6,5,0,50,18.0,397.0,18:02,1.7,0.6,2.2,8,18,155,100,60.8
3,4.0,Alex DeBrincat,25.0,RW,22,6,11,17,-7,6,3,3,0,1,5,6,0,79,7.6,422.0,19:11,1.0,0.3,1.3,12,30,0,1,0.0
4,5.0,Drake Batherson,24.0,C,22,5,12,17,-16,6,2,3,0,0,8,4,0,61,8.2,395.0,17:58,1.0,0.0,0.9,7,32,8,13,38.1
5,6.0,Shane Pinto,22.0,C,22,9,2,11,-3,2,6,3,0,2,1,1,0,45,20.0,332.0,15:06,1.0,0.3,1.3,8,22,124,88,58.5
6,7.0,Jake Sanderson,20.0,D,22,1,10,11,3,4,0,1,0,0,5,5,0,43,2.3,459.0,20:53,0.6,1.2,1.8,33,18,0,0,
7,8.0,Thomas Chabot,26.0,D,17,3,6,9,-3,18,1,2,0,0,4,2,0,37,8.1,442.0,25:58,0.6,0.7,1.4,24,26,0,0,
8,9.0,Mathieu Joseph,25.0,RW,21,2,5,7,4,12,0,1,1,0,5,0,0,24,8.3,305.0,14:32,0.0,0.5,0.6,10,35,3,2,60.0
9,10.0,Tyler Motte,27.0,C,22,2,5,7,2,4,2,0,0,0,5,0,0,47,4.3,321.0,14:35,0.0,0.5,0.5,23,48,16,24,40.0
10,11.0,Derick Brassard,35.0,C,16,3,3,6,3,8,3,0,0,1,1,2,0,34,8.8,221.0,13:50,0.2,0.4,0.6,4,31,74,82,47.4
11,12.0,Travis Hamonic,32.0,D,22,2,2,4,1,26,2,0,0,0,2,0,0,36,5.6,405.0,18:24,0.1,0.9,1.0,35,33,0,0,
12,13.0,Artem Zub,27.0,D,13,2,2,4,0,8,2,0,0,0,2,0,0,15,13.3,288.0,22:08,0.2,0.6,0.8,11,49,0,0,
13,14.0,Nick Holden,35.0,D,18,1,3,4,-3,2,1,0,0,0,3,0,0,21,4.8,294.0,16:19,0.1,0.4,0.5,23,28,0,0,
14,15.0,Mark Kastelic,23.0,C,19,2,1,3,-4,23,2,0,0,1,1,0,0,17,11.8,156.0,8:13,0.0,0.1,0.1,15,41,96,70,57.8
15,16.0,Austin Watson,31.0,LW,22,1,2,3,-3,22,1,0,0,0,2,0,0,19,5.3,209.0,9:29,-0.2,0.2,0.0,14,59,2,6,25.0
16,17.0,Erik Brannstrom,23.0,D,22,0,3,3,-1,10,0,0,0,0,3,0,0,23,0.0,364.0,16:32,-0.1,0.7,0.6,39,13,0,0,
17,18.0,Joshua Norris,23.0,C,5,1,1,2,0,2,1,0,0,0,1,0,0,8,12.5,92.0,18:21,0.0,0.1,0.2,3,6,33,24,57.9
18,19.0,Dylan Gambrell,26.0,C,6,1,0,1,2,7,1,0,0,0,0,0,0,6,16.7,56.0,9:24,0.0,0.1,0.2,1,4,17,20,45.9
19,20.0,Jacob Bernard-Docker,22.0,D,6,0,1,1,1,7,0,0,0,0,1,0,0,6,0.0,106.0,17:44,0.0,0.3,0.3,6,9,0,0,
20,21.0,Parker Kelly,23.0,F,21,0,1,1,-2,18,0,0,0,0,1,0,0,15,0.0,182.0,8:40,-0.4,0.2,-0.2,9,48,2,3,40.0
21,22.0,Nikita Zaitsev,31.0,D,7,0,1,1,-3,6,0,0,0,0,1,0,0,2,0.0,107.0,15:14,0.0,0.0,0.0,10,18,0,0,
22,23.0,Anton Forsberg,30.0,G,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,683.0,52:31,0.0,0.0,2.2,0,0,0,0,
23,24.0,Magnus Hellberg,31.0,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60.0,60:00,0.0,0.0,0.3,0,0,0,0,
24,25.0,Jacob Larsson,25.0,D,3,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,38.0,12:46,0.0,0.0,0.0,2,3,0,0,
25,26.0,Cam Talbot,35.0,G,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,560.0,50:53,0.0,0.0,2.0,0,0,0,0,
26,27.0,Lassi Thomson,22.0,D,2,0,0,0,-2,4,0,0,0,0,0,0,0,1,0.0,22.0,10:54,0.0,-0.1,-0.1,0,2,0,0,
27,,Team Total,,,22,67,112,179,-48,255,47,19,1,8,76,36,0,738,9.1,,,9.4,8.6,22.6,316,669,703,612,53.5
