,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Unnamed: 17_level_0,Unnamed: 18_level_0,Ice Time,Ice Time,Point Shares,Point Shares,Point Shares,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
,Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
0,1.0,Josh Morrissey,27.0,D,21,5,20,25,8,19,4,1,0,3,13,7,0,38,13.2,483.0,23:01,2.2,1.8,4.0,29,24,0,0,
1,2.0,Kyle Connor,26.0,LW,21,8,13,21,-1,2,6,2,0,3,7,6,0,73,11.0,430.0,20:30,1.5,0.5,2.0,6,16,0,0,
2,3.0,Pierre-Luc Dubois,24.0,LW,21,10,10,20,-5,20,6,4,0,1,6,4,0,61,16.4,379.0,18:03,1.7,0.3,2.0,7,28,128,131,49.4
3,4.0,Blake Wheeler,36.0,RW,21,7,13,20,2,12,4,3,0,2,12,1,0,37,18.9,366.0,17:26,1.5,0.5,2.0,10,14,6,6,50.0
4,5.0,Mark Scheifele,29.0,C,21,12,6,18,1,12,10,2,0,2,5,1,0,58,20.7,447.0,21:17,1.5,0.6,2.1,8,17,146,182,44.5
5,6.0,Cole Perfetti,21.0,C,21,4,10,14,4,10,4,0,0,0,8,2,0,41,9.8,319.0,15:11,0.8,0.6,1.3,13,17,1,4,20.0
6,7.0,Adam Lowry,29.0,LW,21,4,8,12,4,6,2,0,2,0,7,1,0,34,11.8,314.0,14:58,0.6,0.5,1.1,10,45,165,161,50.6
7,8.0,Neal Pionk,27.0,D,21,4,7,11,0,6,4,0,0,1,6,1,0,40,10.0,467.0,22:14,0.8,1.2,2.0,30,53,0,0,
8,9.0,Sam Gagner,33.0,C,19,3,4,7,-1,4,2,1,0,1,2,2,0,34,8.8,261.0,13:45,0.2,0.3,0.5,6,5,9,20,31.0
9,10.0,Mason Appleton,27.0,C,14,1,5,6,1,6,1,0,0,0,5,0,0,23,4.3,232.0,16:34,0.0,0.3,0.3,3,26,0,2,0.0
10,11.0,Morgan Barron,24.0,C,11,1,4,5,4,4,1,0,0,0,3,1,0,20,5.0,145.0,13:08,0.1,0.3,0.5,9,13,3,2,60.0
11,12.0,Dylan DeMelo,29.0,D,17,0,5,5,4,4,0,0,0,0,3,0,2,18,0.0,302.0,17:45,0.1,1.0,1.1,15,34,0,0,
12,13.0,Saku Maenalanen,28.0,RW,21,3,1,4,2,6,3,0,0,0,1,0,0,23,13.0,241.0,11:28,0.0,0.4,0.3,9,48,2,0,100.0
13,14.0,Brenden Dillon,32.0,D,21,0,4,4,4,40,0,0,0,0,3,0,1,29,0.0,417.0,19:51,-0.1,1.3,1.2,30,62,0,0,
14,15.0,Jansen Harkins,25.0,C,8,2,1,3,4,4,2,0,0,0,1,0,0,8,25.0,79.0,9:54,0.2,0.2,0.5,2,2,2,3,40.0
15,16.0,Nate Schmidt,31.0,D,21,2,1,3,4,2,1,1,0,0,1,0,0,22,9.1,436.0,20:46,-0.1,1.4,1.3,32,15,0,0,
16,17.0,Michael Eyssimont,26.0,C,8,1,2,3,3,5,1,0,0,0,2,0,0,9,11.1,65.0,8:06,0.2,0.2,0.4,2,13,1,0,100.0
17,18.0,Nikolaj Ehlers,26.0,LW,2,0,3,3,0,0,0,0,0,0,2,1,0,7,0.0,38.0,19:00,0.2,0.0,0.2,1,2,0,0,
18,19.0,David Gustafsson,22.0,C,20,0,3,3,3,2,0,0,0,0,2,0,1,19,0.0,197.0,9:50,-0.3,0.4,0.1,11,8,44,59,42.7
19,20.0,Axel Jonsson Fjällby,24.0,LW,19,1,1,2,0,4,1,0,0,1,1,0,0,22,4.5,217.0,11:24,-0.3,0.3,-0.1,8,17,1,2,33.3
20,21.0,Dylan Samberg,24.0,D,15,0,1,1,-1,6,0,0,0,0,1,0,0,12,0.0,226.0,15:05,-0.2,0.5,0.3,34,23,0,0,
21,22.0,Dominic Toninato,28.0,C,4,0,1,1,1,2,0,0,0,0,1,0,0,5,0.0,28.0,7:03,0.0,0.1,0.1,1,4,3,5,37.5
22,23.0,Kyle Capobianco,25.0,D,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,38.0,12:48,0.0,0.1,0.0,1,6,0,0,
23,24.0,Ville Heinola,21.0,D,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,,25.0,12:33,0.0,-0.1,-0.1,2,0,0,0,
24,25.0,Connor Hellebuyck,29.0,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,1023.0,60:10,0.0,0.0,4.6,0,0,0,0,
25,26.0,David Rittich,30.0,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,238.0,59:33,0.0,0.0,0.4,0,0,0,0,
26,27.0,Logan Stanley,24.0,D,5,0,0,0,0,6,0,0,0,0,0,0,0,3,0.0,74.0,14:48,-0.1,0.2,0.1,6,15,0,0,
27,,Team Total,,,21,68,123,191,39,182,52,14,2,14,92,27,4,637,10.7,,,10.4,12.9,28.3,285,507,511,577,47.0
