,Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
0,2022-10-07,San Jose Sharks,1.0,Nashville Predators,4.0,,16648.0,2:43,"at (Prague, CZ)"
1,2022-10-08,Nashville Predators,3.0,San Jose Sharks,2.0,,17023.0,2:33,"at (Prague, CZ)"
2,2022-10-11,Vegas Golden Knights,4.0,Los Angeles Kings,3.0,,18230.0,2:31,
3,2022-10-11,Tampa Bay Lightning,1.0,New York Rangers,3.0,,18006.0,2:21,
4,2022-10-12,Seattle Kraken,4.0,Anaheim Ducks,5.0,OT,17530.0,2:28,
5,2022-10-12,Columbus Blue Jackets,1.0,Carolina Hurricanes,4.0,,18824.0,2:37,
6,2022-10-12,Chicago Blackhawks,2.0,Colorado Avalanche,5.0,,18143.0,2:19,
7,2022-10-12,Vancouver Canucks,3.0,Edmonton Oilers,5.0,,18347.0,2:41,
8,2022-10-12,Toronto Maple Leafs,3.0,Montreal Canadiens,4.0,,21105.0,2:30,
9,2022-10-12,Boston Bruins,5.0,Washington Capitals,2.0,,18573.0,2:28,
10,2022-10-13,Ottawa Senators,1.0,Buffalo Sabres,4.0,,15364.0,2:21,
11,2022-10-13,Colorado Avalanche,3.0,Calgary Flames,5.0,,19289.0,2:35,
12,2022-10-13,Seattle Kraken,4.0,Los Angeles Kings,1.0,,15645.0,2:28,
13,2022-10-13,New York Rangers,7.0,Minnesota Wild,3.0,,18612.0,2:31,
14,2022-10-13,Dallas Stars,4.0,Nashville Predators,1.0,,17692.0,2:26,
15,2022-10-13,Florida Panthers,3.0,New York Islanders,1.0,,17255.0,2:36,
16,2022-10-13,New Jersey Devils,2.0,Philadelphia Flyers,5.0,,19107.0,2:34,
17,2022-10-13,Arizona Coyotes,2.0,Pittsburgh Penguins,6.0,,18355.0,2:34,
18,2022-10-13,Washington Capitals,2.0,Toronto Maple Leafs,3.0,,18914.0,2:33,
19,2022-10-13,Chicago Blackhawks,0.0,Vegas Golden Knights,1.0,,18467.0,2:27,
20,2022-10-14,Tampa Bay Lightning,5.0,Columbus Blue Jackets,2.0,,18889.0,2:25,
21,2022-10-14,Montreal Canadiens,0.0,Detroit Red Wings,3.0,,19515.0,2:30,
22,2022-10-14,Carolina Hurricanes,2.0,San Jose Sharks,1.0,,17562.0,2:27,
23,2022-10-14,New York Rangers,1.0,Winnipeg Jets,4.0,,14553.0,2:26,
24,2022-10-15,Arizona Coyotes,3.0,Boston Bruins,6.0,,17850.0,2:33,
25,2022-10-15,Florida Panthers,4.0,Buffalo Sabres,3.0,,11481.0,2:30,
26,2022-10-15,Nashville Predators,1.0,Dallas Stars,5.0,,18532.0,2:30,
27,2022-10-15,Calgary Flames,4.0,Edmonton Oilers,3.0,,18347.0,2:35,
28,2022-10-15,Los Angeles Kings,7.0,Minnesota Wild,6.0,,18421.0,2:44,
29,2022-10-15,Detroit Red Wings,5.0,New Jersey Devils,2.0,,16514.0,2:25,
